cohort,score,item,item_label,n,weighted_n,pct,weighted_pct
modern_full_PHQ9_X3,1.0,DPQ030,Sleep problems,680,51605952.42518944,30.262572318647084,29.910672921387242
modern_full_PHQ9_X3,2.0,DPQ030,Sleep problems,211,16622008.421429843,9.390298175344904,9.634071920495268
modern_full_PHQ9_X3,3.0,DPQ030,Sleep problems,203,13529849.82578624,9.034267912772586,7.84186501356088
modern_full_PHQ9_X3,0.0,DPQ040,Tired / little energy,1032,76821690.57056,45.9279038718291,44.52564775846403
modern_full_PHQ9_X3,1.0,DPQ040,Tired / little energy,823,66673704.650477186,36.62661326212728,38.64390207987286
modern_full_PHQ9_X3,2.0,DPQ040,Tired / little energy,211,16425412.135797396,9.390298175344904,9.520125235650408
modern_full_PHQ9_X3,3.0,DPQ040,Tired / little energy,181,12612764.725688789,8.05518469069871,7.310324926012696
modern_full_PHQ9_X3,0.0,DPQ050,Appetite problems,1528,115689147.21030363,68.00178015131286,67.05312236563974
modern_full_PHQ9_X3,1.0,DPQ050,Appetite problems,471,38090451.33218214,20.96128170894526,22.077124395223994
modern_full_PHQ9_X3,2.0,DPQ050,Appetite problems,151,12185641.883682838,6.7200712060525145,7.062765661545804
modern_full_PHQ9_X3,3.0,DPQ050,Appetite problems,97,6568331.65635475,4.316866933689363,3.8069875775904616
modern_full_PHQ9_X3,0.0,DPQ060,Feeling bad about self,1635,121828962.81385215,72.76368491321762,70.61174317748488
modern_full_PHQ9_X3,1.0,DPQ060,Feeling bad about self,430,37108705.81549442,19.136626613262127,21.508107302006827
modern_full_PHQ9_X3,2.0,DPQ060,Feeling bad about self,105,8559077.895636316,4.672897196261682,4.960818808957646
modern_full_PHQ9_X3,3.0,DPQ060,Feeling bad about self,77,5036825.557540484,3.426791277258567,2.919330711550651
modern_full_PHQ9_X3,0.0,DPQ070,Concentration problems,1666,126455827.74294588,74.14330218068535,73.29346179795179
modern_full_PHQ9_X3,1.0,DPQ070,Concentration problems,401,32182939.570849124,17.846016911437474,18.653146273153098
modern_full_PHQ9_X3,2.0,DPQ070,Concentration problems,105,8476873.417324595,4.672897196261682,4.91317331172514
modern_full_PHQ9_X3,3.0,DPQ070,Concentration problems,75,5417931.35140376,3.3377837116154874,3.1402186171699644
modern_full_PHQ9_X3,0.0,DPQ080,Psychomotor change,1962,152743852.77029198,87.31642189586115,88.52993126302056
modern_full_PHQ9_X3,1.0,DPQ080,Psychomotor change,206,14859607.087503511,9.167779261237206,8.612588789616037
modern_full_PHQ9_X3,2.0,DPQ080,Psychomotor change,36,2381520.9836365003,1.6021361815754338,1.3803232350034524
modern_full_PHQ9_X3,3.0,DPQ080,Psychomotor change,43,2548591.2410913785,1.9136626613262127,1.4771567123599452
modern_full_PHQ9_X3,0.0,DPQ090,Death / self-harm thoughts,2144,165379754.5631298,95.4161103693814,95.85366637168339
modern_full_PHQ9_X3,1.0,DPQ090,Death / self-harm thoughts,72,5008875.346791954,3.2042723631508676,2.9031308436576
modern_full_PHQ9_X3,2.0,DPQ090,Death / self-harm thoughts,20,1385300.7133115046,0.8900756564307967,0.8029166130339613
modern_full_PHQ9_X3,3.0,DPQ090,Death / self-harm thoughts,11,759641.4592900755,0.48954161103693816,0.4402861716250427
