outcome_label,comparison,variable,epsilon,R2_equivalent,RMSE_raw_units,n_test
PHQ9_TOTAL,X0_vs_X1,LBXHGB,0.9915502769905444,0.01682804819997452,1.4815390797028019,1832
PHQ9_TOTAL,X0_vs_X2,LBXHGB,0.9997268537203008,0.0005462179505083542,1.493756229195301,1832
PHQ9_TOTAL,X0_vs_X1,LBXRBCSI,0.9996363140642144,0.0007272396041112517,0.49831448891960833,1832
PHQ9_TOTAL,X0_vs_X2,LBXRBCSI,0.9999870942061979,2.5811421044741323e-05,0.49848935134178757,1832
PHQ9_TOTAL,X0_vs_X1,LBXMCVSI,0.9853473798827633,0.029090540958173317,5.336034841705479,1832
PHQ9_TOTAL,X0_vs_X2,LBXMCVSI,0.9994389871624504,0.001121710939695375,5.412346312111974,1832
PHQ9_TOTAL,X0_vs_X1,LBXRDW,0.9998411475972611,0.00031767957139205993,1.007024267772544,1832
PHQ9_TOTAL,X0_vs_X2,LBXRDW,1.0001525916524763,-0.0003052065891651079,1.0073379493232675,1832
PHQ9_TOTAL,X0_vs_X1,LBXGH,0.9950281966321028,0.009918887907065299,0.8861124414166497,1832
PHQ9_TOTAL,X0_vs_X2,LBXGH,1.0000865375455799,-0.00017308257990644726,0.8906170964922847,1832
PHQ9_TOTAL,X0_vs_X1,LBXGLU,0.9988515330090252,0.002295615005520224,31.03993583915134,1832
PHQ9_TOTAL,X0_vs_X2,LBXGLU,1.000309055699479,-0.0006182069143831903,31.085229267955018,1832
PHQ9_TOTAL,X0_vs_X1,LOG_IN,0.9981852176782685,0.003626271208587606,0.7171151751063949,1832
PHQ9_TOTAL,X0_vs_X2,LOG_IN,1.0006269503335445,-0.0012542937338098081,0.7188693621146177,1832
PHQ9_TOTAL_RAW,Y0_vs_Y1,PHQ9_TOTAL,0.9841422160547241,0.03146409857889687,3.48904355749249,1405
PHQ9_TOTAL_RAW,Y0_vs_Y2,PHQ9_TOTAL,0.9984740645450932,0.003049542430801022,3.5398537379994712,1405
PHQ9_TOTAL_RAW,X0_vs_X1,LBXHGB,0.9831163261501223,0.033482289257086184,1.5141341022348327,1405
PHQ9_TOTAL_RAW,X0_vs_X2,LBXHGB,1.000550689182421,-0.0011016816234175053,1.5409854146541064,1405
PHQ9_TOTAL_RAW,X0_vs_X1,LBXRBCSI,0.986823474046087,0.026179431071612025,0.4742268058453101,1405
PHQ9_TOTAL_RAW,X0_vs_X2,LBXRBCSI,0.9994398406896638,0.001120004842219413,0.48028971315559704,1405
PHQ9_TOTAL_RAW,X0_vs_X1,LBXMCVSI,1.0017825567465897,-0.0035682910017340586,5.6229650238595426,1405
PHQ9_TOTAL_RAW,X0_vs_X2,LBXMCVSI,1.0035042661883078,-0.007020812258134113,5.632628909407192,1405
PHQ9_TOTAL_RAW,X0_vs_X1,LBXRDW,0.9811785152670033,0.037288721178438955,1.0657291718306479,1405
PHQ9_TOTAL_RAW,X0_vs_X2,LBXRDW,0.9992230581707296,0.0015532800199347108,1.0853286590448759,1405
PHQ9_TOTAL_RAW,X0_vs_X1,LBXGH,0.9948402344616659,0.010292907896257475,0.8325920732555396,1405
PHQ9_TOTAL_RAW,X0_vs_X2,LBXGH,0.9997881635544092,0.00042362801650175363,0.8367330462469242,1405
PHQ9_TOTAL_RAW,X0_vs_X1,LBXGLU,0.9972969102499942,0.005398872805814858,27.987078383181387,1405
PHQ9_TOTAL_RAW,X0_vs_X2,LBXGLU,0.9998876624760916,0.00022466242809737746,28.05978249454278,1405
PHQ9_TOTAL_RAW,X0_vs_X1,LOG_IN,0.9924958308173519,0.014952025810174296,0.7100334060849237,1405
PHQ9_TOTAL_RAW,X0_vs_X2,LOG_IN,0.9997344324889623,0.0005310644959725108,0.7152119154958427,1405
