cohort,PHQ9_score,n,weighted_n,pct,weighted_pct
replication_full_PHQ9_X3,18.0,41,808541.7586311337,0.4144344486000202,0.4266296300187305
replication_full_PHQ9_X3,19.0,30,412345.27999458776,0.3032447184878197,0.21757529820338814
replication_full_PHQ9_X3,20.0,20,322990.70444503264,0.20216314565854646,0.17042707227659493
replication_full_PHQ9_X3,21.0,23,321018.233428094,0.2324876175073284,0.16938629167225872
replication_full_PHQ9_X3,22.0,10,160364.91591351797,0.10108157282927323,0.08461705782518696
replication_full_PHQ9_X3,23.0,11,159516.11433820458,0.11118973011220054,0.08416918497487388
replication_full_PHQ9_X3,24.0,18,234884.39162879038,0.1819468310926918,0.12393749615037732
replication_full_PHQ9_X3,25.0,9,176809.9516037048,0.0909734155463459,0.09329433320058285
replication_full_PHQ9_X3,26.0,1,9702.6601570682,0.010108157282927322,0.005119639485306962
replication_full_PHQ9_X3,27.0,4,87060.84427969069,0.04043262913170929,0.045937931328427155
modern_full_PHQ9_X3,0.0,583,43337111.57160045,25.945705384957723,25.118074730912177
modern_full_PHQ9_X3,1.0,302,23874897.976399396,13.440142412105029,13.837827437421831
modern_full_PHQ9_X3,2.0,284,20939514.514628455,12.639074321317311,12.136486981567282
modern_full_PHQ9_X3,3.0,226,18040873.67362474,10.057854917668001,10.456442451093361
modern_full_PHQ9_X3,4.0,158,13269423.536521805,7.031597685803293,7.690922628191453
modern_full_PHQ9_X3,5.0,112,9788963.141104782,4.984423676012461,5.673657029730241
modern_full_PHQ9_X3,6.0,100,6617451.8793407595,4.4503782821539835,3.835457528332868
modern_full_PHQ9_X3,7.0,81,5792489.493469809,3.6048064085447264,3.3573115212030973
modern_full_PHQ9_X3,8.0,77,6018659.666239776,3.426791277258567,3.4883991524623563
modern_full_PHQ9_X3,9.0,45,4118591.2147927675,2.0026702269692924,2.3871245260156275
modern_full_PHQ9_X3,10.0,59,5798350.903295692,2.62572318647085,3.360708778765863
modern_full_PHQ9_X3,11.0,53,3745979.7175755617,2.358700489541611,2.17115989216513
modern_full_PHQ9_X3,12.0,31,2656148.5876917057,1.3796172674677347,1.5394966646962254
modern_full_PHQ9_X3,13.0,23,1492703.8809287886,1.023587004895416,0.865167203641285
modern_full_PHQ9_X3,14.0,19,1498381.8433217749,0.8455718736092568,0.8684581355593181
modern_full_PHQ9_X3,15.0,16,796992.9814195071,0.7120605251446372,0.46193501461750447
modern_full_PHQ9_X3,16.0,9,703201.201094329,0.40053404539385845,0.4075735479225953
modern_full_PHQ9_X3,17.0,18,1135046.2047086426,0.8010680907877169,0.6578697647120794
modern_full_PHQ9_X3,18.0,9,371179.84586346766,0.40053404539385845,0.21513485252941444
modern_full_PHQ9_X3,19.0,10,350844.7326520659,0.44503782821539833,0.20334867493745254
modern_full_PHQ9_X3,20.0,8,685934.4432617838,0.3560302625723186,0.3975657809563573
modern_full_PHQ9_X3,21.0,6,322275.00638205744,0.26702269692923897,0.18678973749405256
modern_full_PHQ9_X3,22.0,7,503061.5060434056,0.3115264797507788,0.2915731123927519
modern_full_PHQ9_X3,23.0,4,317563.83659054874,0.1780151312861593,0.1840591559993071
modern_full_PHQ9_X3,24.0,4,203603.18636452098,0.1780151312861593,0.11800786589356468
modern_full_PHQ9_X3,25.0,2,124712.19792237312,0.08900756564307966,0.07228285858634101
modern_full_PHQ9_X3,26.0,1,29615.339684396185,0.04450378282153983,0.01716497220044286
