domain,period,comparison,variable,epsilon,R2_equivalent,RMSE_raw_units,n
A,2009-2018,X0_vs_X1__backward_transfer,LBXRBCSI,0.11261073410182641,0.9873188225650478,0.05399568531882575,12642
A,2009-2018,X0_vs_X2__full_transfer,LBXRBCSI,0.11261073410182613,0.9873188225650478,0.05399568531882562,12642
A,2009-2018,X1_vs_X2__g_cycle,LBXRBCSI,1.875545767410032e-15,1.0,8.957460535841157e-16,12642
A,2009-2018,X0_vs_X1__backward_transfer,LBXMCVSI,0.066800118341725,0.9955377441895316,0.36807953294397205,12642
A,2009-2018,X0_vs_X2__full_transfer,LBXMCVSI,0.06680011834172517,0.9955377441895316,0.36807953294397294,12642
A,2009-2018,X1_vs_X2__g_cycle,LBXMCVSI,1.4424326427957339e-15,1.0,7.965006752061142e-15,12642
A,2009-2018,X0_vs_X1__backward_transfer,LBXRDW,0.008445961994711686,0.9999286657259839,0.010817950035696479,12642
A,2009-2018,X0_vs_X2__full_transfer,LBXRDW,0.008445961994711834,0.9999286657259839,0.010817950035696668,12642
A,2009-2018,X1_vs_X2__g_cycle,LBXRDW,1.1769915843682586e-15,1.0,1.5087646705864122e-15,12642
A,2021-2023,X0_vs_X1__backward_transfer,LBXHGB,0.10142137690525566,0.9897137043066421,0.1481739573520401,3235
A,2021-2023,X0_vs_X2__full_transfer,LBXHGB,0.10142137690525578,0.9897137043066421,0.14817395735204028,3235
A,2021-2023,X1_vs_X2__g_cycle,LBXHGB,1.2816055120609533e-15,1.0,1.8521325879405432e-15,3235
A,2021-2023,X0_vs_X1__backward_transfer,LBXRBCSI,0.09765844485628704,0.9904628281482516,0.04702376150546033,3235
A,2021-2023,X0_vs_X2__full_transfer,LBXRBCSI,0.0976584448562868,0.9904628281482516,0.04702376150546021,3235
A,2021-2023,X1_vs_X2__g_cycle,LBXRBCSI,1.9459676131662865e-15,1.0,9.290918993442195e-16,3235
A,2021-2023,X0_vs_X1__backward_transfer,LBXMCVSI,0.05525524073314783,0.9969468583715219,0.32055309734468596,3235
A,2021-2023,X0_vs_X2__full_transfer,LBXMCVSI,0.05525524073314801,0.9969468583715219,0.320553097344687,3235
A,2021-2023,X1_vs_X2__g_cycle,LBXMCVSI,1.556974187850635e-15,1.0,9.088548273035818e-15,3235
A,2021-2023,X0_vs_X1__backward_transfer,LBXRDW,0.006749204938468855,0.9999544482326985,0.009421136141765313,3235
A,2021-2023,X0_vs_X2__full_transfer,LBXRDW,0.006749204938468968,0.9999544482326985,0.009421136141765471,3235
A,2021-2023,X1_vs_X2__g_cycle,LBXRDW,1.2337317225831293e-15,1.0,1.7220520701480614e-15,3235
G,2005-2008,X0_vs_X1__backward_transfer,LBXGH,2.1894491744427647e-15,1.0,1.98568378818226e-15,4519
G,2005-2008,X0_vs_X2__full_transfer,LBXGH,4.3457649930176585e-15,1.0,3.9413178413156815e-15,4519
G,2005-2008,X1_vs_X2__g_cycle,LBXGH,2.2172199290089104e-15,1.0,2.0108700029486397e-15,4519
G,2005-2008,X0_vs_X1__backward_transfer,LBXGLU,1.1006233538602361e-15,1.0,3.311962021766316e-14,4519
G,2005-2008,X0_vs_X2__full_transfer,LBXGLU,2.1792603970256743e-15,1.0,6.557763512080587e-14,4519
G,2005-2008,X1_vs_X2__g_cycle,LBXGLU,1.118901457644131e-15,1.0,3.3669639307752845e-14,4519
G,2005-2008,X0_vs_X1__backward_transfer,LOG_IN,9.118563632122322e-16,1.0,6.694695852146668e-16,4519
G,2005-2008,X0_vs_X2__full_transfer,LOG_IN,1.777113487430584e-15,1.0,1.3047267939420393e-15,4519
G,2005-2008,X1_vs_X2__g_cycle,LOG_IN,9.076346849030498e-16,1.0,6.663701000977335e-16,4519
G,2009-2018,X0_vs_X1__backward_transfer,LBXGH,2.0389536153738963e-15,1.0,1.9397066354915123e-15,12258
G,2009-2018,X0_vs_X2__full_transfer,LBXGH,4.057469125917651e-15,1.0,3.8599700000537714e-15,12258
G,2009-2018,X1_vs_X2__g_cycle,LBXGH,2.080787362690812e-15,1.0,1.9795041064326163e-15,12258
G,2009-2018,X0_vs_X1__backward_transfer,LBXGLU,1.0725483818388144e-15,1.0,3.2848518990594016e-14,12258
G,2009-2018,X0_vs_X2__full_transfer,LBXGLU,2.119428736400573e-15,1.0,6.491091336831425e-14,12258
G,2009-2018,X1_vs_X2__g_cycle,LBXGLU,1.0892432720655508e-15,1.0,3.3359826851334684e-14,12258
G,2009-2018,X0_vs_X1__backward_transfer,LOG_IN,9.001380673438795e-16,1.0,6.527961009342856e-16,12258
G,2009-2018,X0_vs_X2__full_transfer,LOG_IN,1.7717388180440368e-15,1.0,1.2848964333948308e-15,12258
G,2009-2018,X1_vs_X2__g_cycle,LOG_IN,9.203890172017908e-16,1.0,6.674824491591411e-16,12258
G,2021-2023,X0_vs_X1__backward_transfer,LBXGH,1.9250524590335913e-15,1.0,2.166343146142815e-15,3024
G,2021-2023,X0_vs_X2__full_transfer,LBXGH,3.813401692331622e-15,1.0,4.291382596305583e-15,3024
G,2021-2023,X1_vs_X2__g_cycle,LBXGH,1.9408254039056445e-15,1.0,2.1840931097127527e-15,3024
G,2021-2023,X0_vs_X1__backward_transfer,LBXGLU,1.025153618640521e-15,1.0,3.63815840217842e-14,3024
G,2021-2023,X0_vs_X2__full_transfer,LBXGLU,1.9925470778972314e-15,1.0,7.071332297301159e-14,3024
G,2021-2023,X1_vs_X2__g_cycle,LBXGLU,1.0015968403068114e-15,1.0,3.5545579646784385e-14,3024
G,2021-2023,X0_vs_X1__backward_transfer,LOG_IN,9.030283189069647e-16,1.0,6.726448662792166e-16,3024
