period,component,component_label,quintile,n,weighted_mean_component,weighted_mean_Hb,weighted_mean_RBC,weighted_mean_MCV,weighted_mean_RDW,weighted_mean_somatic_PHQ,weighted_mean_total_PHQ9
2009-2018,A_OI_PC1_FZ,Haematology PC1,2,1840,-0.5243836917830198,13.794539422487878,4.5366956257930395,90.10183851014932,13.192932445437476,1.707679779037543,2.9534724342436482
2009-2018,A_OI_PC1_FZ,Haematology PC1,3,1782,-0.09792742024477628,14.475137482148932,4.7263525516338385,90.54596974640836,13.0534866529746,1.7204685936847197,3.0982486797238047
2009-2018,A_OI_PC1_FZ,Haematology PC1,4,1632,0.33382769217293157,15.18237549773356,4.940734360627001,90.52676848479771,12.950723737423202,1.4639410629313117,2.6348691786125586
2009-2018,A_OI_PC1_FZ,Haematology PC1,5,1607,0.9525758588095227,16.20129294207882,5.263441858567106,90.38276112578488,12.843803485414877,1.4360370262874735,2.565084798723843
2009-2018,A_OI_PC2_FZ,Haematology PC2,1,1942,-1.4282956116251684,14.849899114142396,5.247892817633629,84.4631936940337,14.05203431406475,1.7640686646493444,3.1138853117873806
2009-2018,A_OI_PC2_FZ,Haematology PC2,2,1774,-0.5187880463314793,14.870374113316714,4.972056067475338,88.16802254977073,13.275851361289194,1.579899163737253,2.927950920898845
2009-2018,A_OI_PC2_FZ,Haematology PC2,3,1758,-0.040442090979118946,14.628726749097888,4.774951551379194,90.14611336498787,13.061797679668947,1.6447546625072873,2.9241358256880288
2009-2018,A_OI_PC2_FZ,Haematology PC2,4,1763,0.42784371512172364,14.346268024505802,4.575530794180259,92.11012083469694,12.886342177206812,1.6071967330438808,2.756021655922534
2009-2018,A_OI_PC2_FZ,Haematology PC2,5,1765,1.1752051180883982,13.901678955984496,4.261429942307233,95.46959730527138,12.670295765827328,1.7521136857434902,3.1067978219099337
2009-2018,A_OI_PC3_FZ,Haematology PC3,1,1852,-0.7522938201513181,13.942473959281738,4.683853067254052,87.22733377588371,12.431821050000787,1.7215768320414548,2.96347108150628
2009-2018,A_OI_PC3_FZ,Haematology PC3,2,1688,-0.029623591213329907,14.332855826914466,4.747628017043951,89.10915591332501,12.820447787980404,1.5223410469365746,2.695584851498233
2009-2018,A_OI_PC3_FZ,Haematology PC3,3,1693,0.42422782653331803,14.565104273875624,4.778220719180339,90.04069286897258,13.106180435026674,1.591485223891112,2.8366689693091063
2009-2018,A_OI_PC3_FZ,Haematology PC3,4,1838,0.9111952406551289,14.725707888162226,4.805914262388188,90.95072754992195,13.45163896990041,1.5459127213303663,2.77086729804761
2009-2018,A_OI_PC3_FZ,Haematology PC3,5,1931,1.904891104299679,15.029683158706572,4.815590715217276,93.03170441900224,14.133779395168853,1.9661861308201973,3.5621995796642287
2021-2023,A_OI_PC1_FZ,Haematology PC1,1,453,-1.330941488093272,12.847940079318143,4.378923375156095,88.10888220296168,14.358959390208263,2.3457565629303034,4.2901182898835595
2021-2023,A_OI_PC1_FZ,Haematology PC1,2,485,-0.6909386687137118,13.634261308144183,4.579489872003407,88.76794245803674,13.60259764244023,2.159633023219236,4.001017815827253
2021-2023,A_OI_PC1_FZ,Haematology PC1,3,432,-0.2617004953657846,14.332180256965065,4.757967543572963,89.44576438996998,13.466451531255302,2.1008007835167732,3.9213310528876595
2021-2023,A_OI_PC1_FZ,Haematology PC1,4,364,0.16165492685265348,15.031742091732331,4.940088883220408,89.69269189706878,13.318240504618947,1.7808667504956348,3.701712755750024
2021-2023,A_OI_PC1_FZ,Haematology PC1,5,336,0.7588929905370501,16.00704753386218,5.2726113024810655,89.18201288424899,13.227085136190752,1.6033995983648504,3.3264967150364813
2021-2023,A_OI_PC2_FZ,Haematology PC2,1,382,-1.7166591050496556,14.768832790256363,5.2936037954629835,83.23947668862846,14.412926488213731,1.8842733872337234,3.714772428512817
2021-2023,A_OI_PC2_FZ,Haematology PC2,2,389,-0.7235502067700601,14.667006948055679,4.970206623227626,87.27197645332699,13.641615887254153,1.948930917933141,3.6298435541458485
2021-2023,A_OI_PC2_FZ,Haematology PC2,3,412,-0.2500839866476836,14.356643848452306,4.751150405722276,89.0855990124008,13.459505972902425,2.0563590452140366,4.054056250506389
2021-2023,A_OI_PC2_FZ,Haematology PC2,4,423,0.14826334244754788,14.25056610930255,4.6114669080692785,91.09844635857344,13.322696143055701,2.072908092742106,3.9269727827083503
2021-2023,A_OI_PC2_FZ,Haematology PC2,5,464,0.8808868635150978,13.818885351980647,4.306071602169641,94.48941362881413,13.136459198910085,2.026153361191185,3.9122998311699018
2021-2023,A_OI_PC3_FZ,Haematology PC3,1,352,-0.5125467666754147,13.730889129209274,4.7398172566668615,85.76109357337215,12.96578623100589,2.0847930584523606,3.9776089396038556
2021-2023,A_OI_PC3_FZ,Haematology PC3,2,383,0.17670275651646558,14.3039206097827,4.825159160792419,87.80103344278525,13.241009039451392,1.9807782860012393,3.9050507910352272
2021-2023,A_OI_PC3_FZ,Haematology PC3,3,392,0.6093221994418496,14.43065082614891,4.791199664073526,89.29307182561392,13.455476778616154,1.9884388227543146,3.6838352065284363
2021-2023,A_OI_PC3_FZ,Haematology PC3,4,460,1.062190577358049,14.60082167982294,4.776298620876862,90.49196229749386,13.721667174832227,1.8221560965032169,3.5893929501187127
2021-2023,A_OI_PC3_FZ,Haematology PC3,5,483,2.0874944688407053,14.792189954329643,4.798931570311115,91.83060820439705,14.579483208657164,2.110412823230471,4.080554113713007
