cycle,bootstrap,component,similarity
0506,28,IC2,0.9912206559988778
0506,28,IC3,0.8488278590481299
0506,29,IC1,0.9698358986957663
0506,29,IC2,0.9981479156125213
0506,29,IC3,0.9983913100375086
0506,30,IC1,0.8348898576710599
0506,30,IC2,0.9842721247243995
0506,30,IC3,0.944833793324433
0506,31,IC1,0.9604301932723169
0506,31,IC2,0.9969297095683449
0506,31,IC3,0.9900212213796666
0506,32,IC1,0.9578853550899297
0506,32,IC2,0.9974461770873242
0506,32,IC3,0.9952934324552903
0506,33,IC1,0.9858499050046443
0506,33,IC2,0.9979297874580327
0506,33,IC3,0.9967439242383305
0506,34,IC1,0.6704216236415288
0506,34,IC2,0.6640353296495316
0506,34,IC3,0.9777057086360407
0506,35,IC1,0.8042012237968452
0506,35,IC2,0.9879064130808473
0506,35,IC3,0.9109216206019538
0506,36,IC1,0.5168944544915028
0506,36,IC2,0.9870339524662182
0506,36,IC3,0.9878125583079116
0506,37,IC1,0.7100279808586405
0506,37,IC2,0.8068915375400207
0506,37,IC3,0.9687880384146197
0506,38,IC1,0.9869884996214602
0506,38,IC2,0.9975873935168815
0506,38,IC3,0.997085542829832
0506,39,IC1,0.8654818681870113
0506,39,IC2,0.9912644301878804
0506,39,IC3,0.9758867365411031
0506,40,IC1,0.6540054345111018
0506,40,IC2,0.7971316081445838
0506,40,IC3,0.9566902461868316
0506,41,IC1,0.8712460304556863
0506,41,IC2,0.9884597205629587
0506,41,IC3,0.9562178274423438
0506,42,IC1,0.9412231958491704
0506,42,IC2,0.9906109396800268
0506,42,IC3,0.9875477881567472
0506,43,IC1,0.6537773842759557
0506,43,IC2,0.7566322622279134
0506,43,IC3,0.9750653127171669
0506,44,IC1,0.6872686882631549
0506,44,IC2,0.9929850698040263
0506,44,IC3,0.9386062991883148
0506,45,IC1,0.3519427893093476
0506,45,IC2,0.9486879415743128
0506,45,IC3,0.9823475458123546
0506,46,IC1,0.891060515819896
0506,46,IC2,0.9661708582868043
0506,46,IC3,0.9911007943887467
0506,47,IC1,0.7138325910701596
0506,47,IC2,0.8012913067459781
0506,47,IC3,0.976430681626026
0506,48,IC1,0.9107903335652224
0506,48,IC2,0.9980784588287903
0506,48,IC3,0.9687521174174923
0506,49,IC1,0.7545221363707054
0506,49,IC2,0.9844989283606627
0506,49,IC3,0.871806802769186
0506,50,IC1,0.7091072881691061
0506,50,IC2,0.8271842912571032
0506,50,IC3,0.9739757483738949
0506,51,IC1,0.8371412573992946
0506,51,IC2,0.9921972557156881
0506,51,IC3,0.9156710915247532
0506,52,IC1,0.9253890563496212
0506,52,IC2,0.9948773840071062
0506,52,IC3,0.9818888696199983
0506,53,IC1,0.9455311360919088
0506,53,IC2,0.9970424117126655
0506,53,IC3,0.9907547110790736
0506,54,IC1,0.9682962758439991
0506,54,IC2,0.9963644169830586
0506,54,IC3,0.9943229453729923
0506,55,IC1,0.7264925355171227
0506,55,IC2,0.7872454590794509
0506,55,IC3,0.9778489534410526
0506,56,IC1,0.7437109239407781
0506,56,IC2,0.7408340273824043
0506,56,IC3,0.9901700307666619
0506,57,IC1,0.9500455061946689
0506,57,IC2,0.9974089858702322
0506,57,IC3,0.9899201372555659
0506,58,IC1,0.9391759137792438
0506,58,IC2,0.9962602167271779
0506,58,IC3,0.9917204749640287
0506,59,IC1,0.835318542067969
0506,59,IC2,0.981484612290594
0506,59,IC3,0.947321002751242
0506,60,IC1,0.8782493893758683
0506,60,IC2,0.9726777530901474
0506,60,IC3,0.8605961810103069
0506,61,IC1,0.8138283401736223
0506,61,IC2,0.9854188247504199
0506,61,IC3,0.9114099893809834
0506,62,IC1,0.8336863421631531
0506,62,IC2,0.9882950894899181
0506,62,IC3,0.9376246636405525
0506,63,IC1,0.9703202494323777
0506,63,IC2,0.9972752319625287
0506,63,IC3,0.9942953117259881
0506,64,IC1,0.9262828556351763
0506,64,IC2,0.990771768248356
0506,64,IC3,0.9500115168192802
0506,65,IC1,0.963741861123173
0506,65,IC2,0.995496967748865
0506,65,IC3,0.9978084735684207
0506,66,IC1,0.8353915573644881
0506,66,IC2,0.9834853809357215
0506,66,IC3,0.9367442439754916
0506,67,IC1,0.7533998744782304
0506,67,IC2,0.8454609623738831
0506,67,IC3,0.9746124357249655
0506,68,IC1,0.8414760194473203
0506,68,IC2,0.9897255641913976
0506,68,IC3,0.9360257770549962
0506,69,IC1,0.9035267578862588
0506,69,IC2,0.9888837555494021
0506,69,IC3,0.9826493946083604
0506,70,IC1,0.7585189276838858
0506,70,IC2,0.8552806724372976
0506,70,IC3,0.9784137409082916
0506,71,IC1,0.7087592279987665
0506,71,IC2,0.7335859690152391
0506,71,IC3,0.9837290373743686
0506,72,IC1,0.8954819566434129
0506,72,IC2,0.9925215293779204
0506,72,IC3,0.9607655431480638
0506,73,IC1,0.7944865755243994
0506,73,IC2,0.9972160545143401
0506,73,IC3,0.9803641901782036
0506,74,IC1,0.5478262717498672
0506,74,IC2,0.9558146617507259
0506,74,IC3,0.9922100042765425
0506,75,IC1,0.7072112970951336
0506,75,IC2,0.6817203773566392
0506,75,IC3,0.982516785603303
0506,76,IC1,0.510895323679922
0506,76,IC2,0.9593895004562507
0506,76,IC3,0.8892886625452406
0506,77,IC1,0.9612967959918153
0506,77,IC2,0.9991650249375594
0506,77,IC3,0.9845551561750623
0506,78,IC1,0.8747459056091604
0506,78,IC2,0.9940732302912271
0506,78,IC3,0.9661139701248499
0506,79,IC1,0.8020365648411056
