"lhs","rhs","group","est","se","z","pvalue","ci.lower","ci.upper","std.all","item","exposure","cycle","q_global","q_exposure"
"DPQ070","A_Z",1,0.0160604456731765,0.0198267406562635,0.81003963039698,0.417917399021849,-0.022799251943916,0.0549201432902689,0.0154882680443761,"DPQ070","A_Z","506",0.996202542645678,0.835834798043699
"DPQ070","A_Z",2,-0.0368988725476604,0.0135604684531909,-2.72106178890728,0.00650725971344412,-0.0634769023294061,-0.0103208427659146,-0.0374278749099622,"DPQ070","A_Z","708",0.351392024525983,0.117130674841994
"DPQ080","A_Z",1,-0.00417902994173721,0.0327007695882834,-0.127796073130785,0.898310357770636,-0.0682713606015153,0.0599133007180409,-0.00404468856316043,"DPQ080","A_Z","506",0.996202542645678,0.921698527149015
"DPQ080","A_Z",2,-0.00662656735756715,0.0190422418204918,-0.347993026243167,0.727845420824948,-0.0439486755106336,0.0306955407954993,-0.00689386960781188,"DPQ080","A_Z","708",0.996202542645678,0.897797798718229
"DPQ090","A_Z",1,0.00808861479476535,0.0316108075083274,0.255881308714892,0.798042487749536,-0.0538674294437846,0.0700446590333153,0.00774646320297188,"DPQ090","A_Z","506",0.996202542645678,0.897797798718229
"DPQ090","A_Z",2,0.0387440993126437,0.0299888581467345,1.29194980092507,0.196374529554844,-0.0200329825924365,0.0975211812177239,0.0348207117172055,"DPQ090","A_Z","708",0.996202542645678,0.676678645343521
"DPQ010","G_HBA1C_Z",1,0.000994107874040705,0.0140541557405743,0.0707340869413252,0.943609391315736,-0.0265515312106017,0.0285397469586831,0.000954575515545275,"DPQ010","G_HBA1C_Z","506",0.996202542645678,0.996202542645678
"DPQ010","G_HBA1C_Z",2,-0.0265270927590061,0.0235921121962705,-1.12440516297644,0.260841182763841,-0.0727667829829245,0.0197125974649122,-0.0259707493465381,"DPQ010","G_HBA1C_Z","708",0.996202542645678,0.823995737955524
"DPQ020","G_HBA1C_Z",1,-0.0150592862890091,0.0151570740086001,-0.993548377507721,0.320442786982704,-0.0447666054568734,0.0146480328788552,-0.0143668469595162,"DPQ020","G_HBA1C_Z","506",0.996202542645678,0.823995737955524
"DPQ020","G_HBA1C_Z",2,-9.38389148641859e-05,0.0197164396376196,-0.00475942495647837,0.996202542645678,-0.0387373505079565,0.0385496726782281,-8.98073724452505e-05,"DPQ020","G_HBA1C_Z","708",0.996202542645678,0.996202542645678
"DPQ030","G_HBA1C_Z",1,-0.0159511249183512,0.0151336419641416,-1.05401759577414,0.291874861270906,-0.0456125181229928,0.0137102682862905,-0.015591371989226,"DPQ030","G_HBA1C_Z","506",0.996202542645678,0.823995737955524
"DPQ030","G_HBA1C_Z",2,-0.0393291838294295,0.0179197645017341,-2.19473776151599,0.0281824143194886,-0.0744512768642677,-0.0042070907945914,-0.0374041304975209,"DPQ030","G_HBA1C_Z","708",0.507283457750796,0.393838897830908
"DPQ040","G_HBA1C_Z",1,0.015872371596596,0.0193377751628312,0.820796160000041,0.411762386247435,-0.0220289712636863,0.0537737144568782,0.0153682993290657,"DPQ040","G_HBA1C_Z","506",0.996202542645678,0.926465369056728
"DPQ040","G_HBA1C_Z",2,0.0365828327079113,0.0181427940795423,2.01638361475766,0.0437598775367676,0.0010236097330819,0.0721420556827408,0.0340255949313455,"DPQ040","G_HBA1C_Z","708",0.590758346746362,0.393838897830908
"DPQ050","G_HBA1C_Z",1,0.000955112223471141,0.0193032042811734,0.0494794651477978,0.960537201590487,-0.0368784729538482,0.0387886974007904,0.000929511771762288,"DPQ050","G_HBA1C_Z","506",0.996202542645678,0.996202542645678
"DPQ050","G_HBA1C_Z",2,-0.000645771320872594,0.0202348247577609,-0.031913857846726,0.974540747305835,-0.0403052990795635,0.0390137564378183,-0.00062040525441973,"DPQ050","G_HBA1C_Z","708",0.996202542645678,0.996202542645678
"DPQ060","G_HBA1C_Z",1,-0.00274275950239725,0.016086130622614,-0.170504614611389,0.864613305567466,-0.0342709961733275,0.028785477168533,-0.0026251430971093,"DPQ060","G_HBA1C_Z","506",0.996202542645678,0.996202542645678
"DPQ060","G_HBA1C_Z",2,0.00342484741760236,0.0237418449604385,0.144253634176672,0.885300189843328,-0.0431083136313909,0.0499580084665956,0.0032527804208299,"DPQ060","G_HBA1C_Z","708",0.996202542645678,0.996202542645678
"DPQ070","G_HBA1C_Z",1,-0.00644777183560865,0.0143344157086795,-0.449810579422817,0.652847028846921,-0.0345427103640456,0.0216471666928283,-0.00622128985133369,"DPQ070","G_HBA1C_Z","506",0.996202542645678,0.996202542645678
"DPQ070","G_HBA1C_Z",2,0.0320844458696039,0.0193116386497357,1.66140463020952,0.0966322085029148,-0.00576567036632974,0.0699345621055376,0.0324527924598202,"DPQ070","G_HBA1C_Z","708",0.869689876526233,0.579793251017489
"DPQ080","G_HBA1C_Z",1,0.0225878572522476,0.0176501285882216,1.27975595981329,0.200630976993931,-0.0120057591031676,0.0571814736076628,0.0218391864629299,"DPQ080","G_HBA1C_Z","506",0.996202542645678,0.823995737955524
"DPQ080","G_HBA1C_Z",2,0.00851939330823566,0.0276293918823819,0.308345306494716,0.75781959472598,-0.0456332196959761,0.0626720063124475,0.00886065409633064,"DPQ080","G_HBA1C_Z","708",0.996202542645678,0.996202542645678
"DPQ090","G_HBA1C_Z",1,0.0228629170992444,0.0318241657574536,0.718413713449493,0.47250223373535,-0.0395113016233974,0.0852371358218862,0.0218735919349077,"DPQ090","G_HBA1C_Z","506",0.996202542645678,0.945004467470701
"DPQ090","G_HBA1C_Z",2,-0.0181095928006591,0.0389494059694513,-0.464951707218918,0.641966040536046,-0.0944490257200129,0.0582298401186948,-0.0163215082455421,"DPQ090","G_HBA1C_Z","708",0.996202542645678,0.996202542645678
"DPQ010","AG_Z",1,0.00117642594180878,0.0205496794712968,0.0572478973918778,0.954347724092996,-0.039100205715775,0.0414530575993925,0.00175574748697108,"DPQ010","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ010","AG_Z",2,0.00898243285533133,0.0203885432937585,0.440562757520842,0.659529569543396,-0.0309783776976711,0.0489432434083337,0.0105357342662231,"DPQ010","AG_Z","708",0.996202542645678,0.993169170221586
"DPQ020","AG_Z",1,0.00133032612395931,0.0182631474897787,0.0728421059241761,0.941931764250899,-0.03446478520035,0.0371254374482686,0.00197164656352107,"DPQ020","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ020","AG_Z",2,0.00414845715717647,0.0184444599603054,0.224916162690825,0.822044495406042,-0.0320020200793133,0.0402989343936662,0.00475993561349525,"DPQ020","AG_Z","708",0.996202542645678,0.993169170221586
"DPQ030","AG_Z",1,0.00969774621581116,0.0201470123080231,0.481349098692378,0.630268406922355,-0.0297896723039993,0.0491851647356216,0.0147279899272986,"DPQ030","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ030","AG_Z",2,-0.0151341805580309,0.0251651993341937,-0.601393231861551,0.547578105516999,-0.0644570649168219,0.0341887038007601,-0.0172243987018831,"DPQ030","AG_Z","708",0.996202542645678,0.993169170221586
"DPQ040","AG_Z",1,-0.00413561412414286,0.0171213001647764,-0.241547901405937,0.809130495343779,-0.0376927458156043,0.0294215175673185,-0.00622591279795213,"DPQ040","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ040","AG_Z",2,0.0230067085601681,0.0260299546654933,0.883855114456538,0.376774429972473,-0.0280110651034092,0.0740244822237454,0.0256901744690806,"DPQ040","AG_Z","708",0.996202542645678,0.993169170221586
"DPQ050","AG_Z",1,-0.00735745695241406,0.0202827438325665,-0.36274465689404,0.716795637183341,-0.0471109043718964,0.0323959904670683,-0.0111267229750673,"DPQ050","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ050","AG_Z",2,-0.0168608537950468,0.0283363058183958,-0.595026532502368,0.551825735653857,-0.0723989926540154,0.0386772850639219,-0.0194128948957837,"DPQ050","AG_Z","708",0.996202542645678,0.993169170221586
"DPQ060","AG_Z",1,-0.00261113073947942,0.0258795687061016,-0.100895450350523,0.91963345477333,-0.0533341533388683,0.0481118918599095,-0.00388340314606276,"DPQ060","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ060","AG_Z",2,0.0156059198192865,0.0187977684123152,0.830200664088535,0.406425339843111,-0.0212370292585758,0.0524488688971489,0.0177682508210991,"DPQ060","AG_Z","708",0.996202542645678,0.993169170221586
"DPQ070","AG_Z",1,-0.00104977118040012,0.0185503221987668,-0.0565904553652392,0.954871437876726,-0.0374077345915969,0.0353081922307967,-0.00157384277276019,"DPQ070","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ070","AG_Z",2,-0.0238178873531682,0.020510836892594,-1.16123430154955,0.245546628862134,-0.0640183889554279,0.0163826142490914,-0.0289116765142372,"DPQ070","AG_Z","708",0.996202542645678,0.993169170221586
"DPQ080","AG_Z",1,-0.0017342775579813,0.0308669619805325,-0.0561855604408068,0.955193984090479,-0.0622324113519921,0.0587638562360295,-0.00260842476387442,"DPQ080","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ080","AG_Z",2,-0.0125005281646301,0.0279578855385023,-0.447119942150667,0.654788461013691,-0.0672969769039878,0.0422959205747276,-0.0155833648867148,"DPQ080","AG_Z","708",0.996202542645678,0.993169170221586
"DPQ090","AG_Z",1,-0.0010451839134147,0.0345490702141678,-0.0302521574947072,0.975865951878917,-0.0687601172325291,0.0666697494056997,-0.00155588028629977,"DPQ090","AG_Z","506",0.996202542645678,0.993169170221586
"DPQ090","AG_Z",2,0.000387390230961229,0.0452491012814761,0.00856128011364101,0.993169170221586,-0.0882992186135371,0.0890739990754595,0.000418300677271123,"DPQ090","AG_Z","708",0.996202542645678,0.993169170221586
