period,space,dimension,weighted_mean,weighted_sd,weighted_q05,weighted_q50,weighted_q95
1314,frozen_component_score,A_FROZEN_PC1,-0.5191760786828172,1.3561775406979604,-2.809836242649127,-0.41637882057437936,1.449172906116863
1314,frozen_component_score,A_FROZEN_PC2,-0.23040701708391992,1.294700161933481,-2.3836372416734353,-0.15388085892059247,1.6524607604514614
1314,frozen_component_score,A_FROZEN_PC3,0.5703769710288707,0.7714120820245092,-0.4901131186776336,0.48914403845434984,1.8132080823350474
1516,biomarker_discovery_z,LBXHGB,-0.2014526673806791,0.9825900865862278,-1.7836800487766247,-0.17564701307115818,1.298383269658853
1516,biomarker_discovery_z,LBXRBCSI,0.05904321888751358,0.9913416729255369,-1.476931554152325,0.02357197406688646,1.711638443313499
1516,biomarker_discovery_z,LBXMCVSI,-0.03904820983369547,1.0353185842634398,-1.7498606129989094,0.033733321958444244,1.4606084699243287
1516,biomarker_discovery_z,LBXRDW,0.8087488355957095,1.0258866341717052,-0.2859018848237416,0.5875696523302443,2.6839013414998107
1516,frozen_component_score,A_FROZEN_PC1,-0.4541930805402701,1.367860955475675,-2.746137041003167,-0.37209151417173164,1.4886208499536597
1516,frozen_component_score,A_FROZEN_PC2,-0.41143799500318357,1.2828878353720274,-2.4974493620812193,-0.275798292489969,1.400397162032475
1516,frozen_component_score,A_FROZEN_PC3,0.5582276775473808,0.7281254407472514,-0.46018097887944337,0.4933491768620914,1.8044137325987328
1718,biomarker_discovery_z,LBXHGB,-0.17232760946272077,0.9745598540984145,-1.7166786722888971,-0.17564701307115818,1.298383269658853
1718,biomarker_discovery_z,LBXRBCSI,0.039339450218224666,0.9784744773002385,-1.456091227371503,0.02357197406688646,1.6491174629710332
1718,biomarker_discovery_z,LBXMCVSI,-0.09988701118665817,1.029926184620704,-1.7498606129989094,-0.0225906970402085,1.3667351049265732
1718,biomarker_discovery_z,LBXRDW,0.8410630551625441,1.0657793713858577,-0.21261890934837072,0.5875696523302443,2.7712484952152088
1718,frozen_component_score,A_FROZEN_PC1,-0.47094649085206514,1.371585520798453,-2.7963933087911355,-0.36433266812382287,1.4772415761744948
1718,frozen_component_score,A_FROZEN_PC2,-0.4604549379071122,1.2796012239553856,-2.565088367258076,-0.3581240388531477,1.3319213025815952
1718,frozen_component_score,A_FROZEN_PC3,0.5584390894704471,0.7505440396700118,-0.47048552235658303,0.47330904869130996,1.8186198767698556
2123,biomarker_discovery_z,LBXHGB,-0.31631862940105165,0.9955796714172034,-2.0516855547275363,-0.24264838955888576,1.2313818931711267
2123,biomarker_discovery_z,LBXRBCSI,-0.08204814937624592,1.0020373379347307,-1.6644944951797271,-0.10146998661804706,1.5657561558477435
2123,biomarker_discovery_z,LBXMCVSI,-0.19976281417965094,1.0853106248940931,-1.9360866424463976,-0.135238735037514,1.3291857589274707
2123,biomarker_discovery_z,LBXRDW,0.9288546438246109,1.1820637722041794,-0.19855473110834337,0.6749168060456425,2.945942802646007
2123,frozen_component_score,A_FROZEN_PC1,-0.6950444882029602,1.432408091278365,-3.1700424580518662,-0.555344210195379,1.2788349320478967
2123,frozen_component_score,A_FROZEN_PC2,-0.4959471470689737,1.3505624764146822,-2.725215173454499,-0.3869991336922091,1.4246214936365318
2123,frozen_component_score,A_FROZEN_PC3,0.5289034116091633,0.8187488096935318,-0.5369061752454773,0.4426464925754297,1.809101864945439
