population,family,model,term,beta,se,ci_low,ci_high,p,p_BH_within_population_model
2009-2018,A_x_G,AxG_full,AXG_A3_G1,0.0098502783745562,0.0237875591641897,-0.0380315947760767,0.0577321515251893,0.68073003643489,0.774671310876394
2009-2018,A_x_G,AxG_full,AXG_A3_G2,-0.0215978559366667,0.0318594620575759,-0.0857276268963017,0.0425319150229683,0.501224479130739,0.774671310876394
2009-2018,A_x_G,AxG_full,AXG_A3_G3,-0.025349345938129,0.0209236219915398,-0.0674664125583533,0.0167677206820953,0.231883936548175,0.774671310876394
2009-2018,effect_modification,age_interactions,A1_X_AGE10,-0.0302461426741671,0.0135084169634848,-0.0573923228968028,-0.0030999624515314,0.0297253085176546,0.1783518511059276
2009-2018,effect_modification,age_interactions,A2_X_AGE10,0.0073395811377154,0.0145981540210384,-0.0219965076907619,0.0366756699661929,0.617375133729172,0.7408501604750064
2009-2018,effect_modification,age_interactions,A3_X_AGE10,0.0255098995175083,0.0164073863642805,-0.0074619778261617,0.0584817768611784,0.12643396314715,0.2528679262943
2009-2018,effect_modification,age_interactions,G1_X_AGE10,0.0049603730092712,0.0151463456534364,-0.0254773481488746,0.035398094167417,0.744687630308475,0.744687630308475
2009-2018,effect_modification,age_interactions,G2_X_AGE10,0.0224179025940584,0.0142025637154393,-0.0061232177522386,0.0509590229403554,0.120899132552747,0.2528679262943
2009-2018,effect_modification,age_interactions,G3_X_AGE10,0.0088939818876266,0.0138970773259104,-0.0190332405749931,0.0368212043502464,0.525160830501257,0.7408501604750064
2009-2018,effect_modification,sex_interactions,A1_X_FEMALE,0.181185711668498,0.0774101563019052,0.0256241784618849,0.33674724487511,0.0233679224444646,0.1402075346667876
2009-2018,effect_modification,sex_interactions,A2_X_FEMALE,0.072780946411085,0.0511079961711879,-0.0299244171138302,0.175486309936,0.160765981509295,0.2411489722639425
2009-2018,effect_modification,sex_interactions,A3_X_FEMALE,0.0836805354146131,0.055391692617448,-0.0276332384120849,0.194994309241311,0.137285998141097,0.2411489722639425
2009-2018,effect_modification,sex_interactions,G1_X_FEMALE,0.0652420875021573,0.0436581071410159,-0.0224921635083634,0.152976338512678,0.141487062104818,0.2411489722639425
