population,adjustment,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
2021-2023,X0,PHQ9_TOTAL,union,G3_FROZEN_PC1_FZ,0.170510055052756,0.358497509221414,-inf,inf,0.71736792671658,0.8608415120598959
2021-2023,X0,PHQ9_TOTAL,union,G3_FROZEN_PC2_FZ,0.582653397887281,0.179563640997467,-inf,inf,0.190315419272865,0.38063083854573
2021-2023,X0,PHQ9_TOTAL,union,G3_FROZEN_PC3_FZ,-0.0116592673016009,0.14449344910491,-inf,inf,0.948741804593078,0.948741804593078
2021-2023,X0,COGAFF_SUM,all_PCs,A_FROZEN_PC1_FZ,0.0158900560879887,0.0915789663418418,-0.275555086988307,0.307335199164285,0.87329608892112,0.87329608892112
2021-2023,X0,COGAFF_SUM,all_PCs,A_FROZEN_PC2_FZ,0.178534268623811,0.0458686087519711,0.0325598841725962,0.324508653075026,0.0300751619736406,0.0902254859209218
2021-2023,X0,COGAFF_SUM,all_PCs,A_FROZEN_PC3_FZ,0.118014725419859,0.0456604906514026,-0.027297334351139,0.263326785190856,0.0814532725677866,0.1629065451355732
2021-2023,X0,COGAFF_SUM,all_PCs,G3_FROZEN_PC1_FZ,0.119557179358869,0.0684537645251021,-0.098293250636803,0.337407609354542,0.179049649343811,0.26857447401571655
2021-2023,X0,COGAFF_SUM,all_PCs,G3_FROZEN_PC2_FZ,0.302439622627864,0.0679350837155972,0.086239866458022,0.518639378797706,0.0210903446462609,0.0902254859209218
2021-2023,X0,COGAFF_SUM,all_PCs,G3_FROZEN_PC3_FZ,0.0118875752952764,0.060209094169829,-0.179724633989975,0.203499784580528,0.856104904416117,0.87329608892112
2021-2023,X0,COGAFF_SUM,union,A,-0.308826633203529,0.288437811048796,-inf,inf,0.478276140532828,
2021-2023,X0,COGAFF_SUM,union,G_HBA1C,0.237496504821058,0.219875614268565,-inf,inf,0.475485470859966,
2021-2023,X0,COGAFF_SUM,union,A_FROZEN_PC1_FZ,-0.0665654337040865,0.146736299151281,-inf,inf,0.728878467524127,0.826430538708297
2021-2023,X0,COGAFF_SUM,union,A_FROZEN_PC2_FZ,0.157745232605499,0.0467482707624885,-inf,inf,0.183414969930888,0.50037515009012
2021-2023,X0,COGAFF_SUM,union,A_FROZEN_PC3_FZ,0.115626458230043,0.0479339656931529,-inf,inf,0.25018757504506,0.50037515009012
2021-2023,X0,COGAFF_SUM,union,G3_FROZEN_PC1_FZ,-0.0515292039796168,0.184292934027631,-inf,inf,0.826430538708297,0.826430538708297
2021-2023,X0,COGAFF_SUM,union,G3_FROZEN_PC2_FZ,0.354510311728576,0.0992619067891219,-inf,inf,0.173801105673502,0.50037515009012
2021-2023,X0,COGAFF_SUM,union,G3_FROZEN_PC3_FZ,0.0535755910897977,0.0789780456065328,-inf,inf,0.620539766667077,0.826430538708297
