cycle,bootstrap,component,A,G,AG
0506,27,IC1,0.006279092761005252,0.023757816047642395,-0.04552473334306682
0506,27,IC2,0.022348169255133055,0.0749897679247099,-0.026170444472972523
0506,27,IC3,0.05664689822499622,0.041859167627931945,-0.013008576738553152
0506,28,IC1,0.06630083112198285,0.06390741804239053,-0.05431329099481043
0506,28,IC2,0.010752738255373198,0.04452104939240956,-0.054324332989098056
0506,28,IC3,0.13638529325506674,0.02862575235115717,-0.05622490523954697
0506,29,IC1,0.12605800031231365,0.03171138114928304,-0.06987091649125844
0506,29,IC2,0.053199858317739504,0.019820471879483062,-0.05628605922661695
0506,29,IC3,0.15317259915165057,0.08804080596558715,-0.0503384915744181
0506,30,IC1,0.025366888666507024,0.045726272193184384,-0.02967892843594577
0506,30,IC2,0.07666691584552275,0.03175262999162508,-0.060397887285083995
0506,30,IC3,0.08489452082576035,0.07070003153521245,-0.014788311742062275
0506,31,IC1,0.01782848953948978,0.04079955283698562,-0.04157172946777005
0506,31,IC2,0.0050271432915805075,0.005147555721889873,-0.04067782900998553
0506,31,IC3,0.10991593170769151,0.06509372998493183,-0.04442373431297825
0506,32,IC1,-0.013759684091235576,0.035551892538953626,-0.005803640093226864
0506,32,IC2,0.0222577098037745,0.03382970061141523,0.02957353353762699
0506,32,IC3,0.11324758414656101,0.05045021902871993,-0.10228297221780067
0506,33,IC1,0.0033575379780516196,0.03184935004993664,-0.04828003824642198
0506,33,IC2,0.13922982248594934,0.01270316541205342,-0.04704631568217251
0506,33,IC3,0.2618170326363068,0.052244258382030236,-0.046962150188892195
0506,34,IC1,0.02868951870413712,0.03770719010827735,-0.040712287814232695
0506,34,IC2,0.019804996333087358,0.05131116163688601,-0.010927178239843937
0506,34,IC3,0.18007752248475561,0.12795926541139244,-0.09189069787757037
0506,35,IC1,0.07589842230845738,0.07124424462872221,-0.032458737029503616
0506,35,IC2,0.04689613947884164,0.02482499006896606,-0.015910813564921043
0506,35,IC3,0.0900644481581578,0.06188531677017017,-0.042453022196455095
0506,36,IC1,0.0755233969137743,0.0065060697146655825,-0.07145106434415988
0506,36,IC2,0.046926998295481706,0.03486489091498258,-0.03457850908417335
0506,36,IC3,0.06042217796658082,0.04887567636955129,-0.03936504185913117
0506,37,IC1,0.0663561408132784,0.010809558483782818,-0.06114297632693158
0506,37,IC2,0.03859248984472388,0.026083387332337435,0.004618288786121527
0506,37,IC3,0.14322829624375732,0.049904184602413734,-0.0528256690454161
0506,38,IC1,-0.020487468853067403,0.02544308974809692,-0.022993798238491417
0506,38,IC2,0.025368801282475026,0.008322414904067014,-0.06226790410740877
