cycle,adjustment,outcome,term,beta,se,ci_low,ci_high,p_design_t,design_df,p_BH_A_within_cycle
0708,X1_primary,PHQ9_TOTAL,G_SCALAR_Z,0.176039820088891,0.0750503543379693,0.0169401762193971,0.335139463958385,0.0322134220812856,16,
0506,X3_full,SOMATIC_SCORE,A_PC1_Z,0.0686944722378901,0.0439905370443258,-0.0250691379541685,0.162458082429949,0.139235629355953,15,0.18564750580793732
0506,X3_full,SOMATIC_SCORE,A_PC2_Z,-0.0711083000023059,0.0587631442866761,-0.196358977187805,0.0541423771831934,0.244971759073128,15,0.244971759073128
0506,X3_full,SOMATIC_SCORE,A_PC3_Z,0.175695424497141,0.0375045386400979,0.0957563926562757,0.255634456338007,0.0002934799677022,15,0.0011739198708088
0506,X3_full,SOMATIC_SCORE,A_PC4_Z,0.148523399195635,0.0476151820194547,0.0470340411185219,0.250012757272748,0.0070350973479632,15,0.0140701946959264
0506,X3_full,SOMATIC_SCORE,G_SCALAR_Z,0.0713709948802979,0.0365387185568212,-0.0065094401829752,0.149251429943571,0.0696975451456177,15,
0506,X3_full,PHQ9_TOTAL,A_PC1_Z,0.101835419893644,0.0931617334294098,-0.096734114488032,0.300404954275321,0.291593233557658,15,0.291593233557658
0506,X3_full,PHQ9_TOTAL,A_PC2_Z,-0.143679671929753,0.120855851764586,-0.401277822251621,0.113918478392114,0.252978991075667,15,0.291593233557658
0506,X3_full,PHQ9_TOTAL,A_PC3_Z,0.294936949355318,0.0662111279904615,0.153811270689049,0.436062628021588,0.0004635325401327,15,0.0018541301605308
0506,X3_full,PHQ9_TOTAL,A_PC4_Z,0.288679956659913,0.0947333732448709,0.0867605513077886,0.490599362012038,0.0081483997787179,15,0.0162967995574358
0506,X3_full,PHQ9_TOTAL,G_SCALAR_Z,0.152206821286083,0.0948114349993956,-0.049878968757249,0.354292611329415,0.129256531533039,15,
0708,X3_full,SOMATIC_SCORE,A_PC1_Z,0.129625951190772,0.0540292852080636,0.015088983165062,0.244162919216483,0.0289665513829217,16,0.0579331027658434
0708,X3_full,SOMATIC_SCORE,A_PC2_Z,-0.0342160378293602,0.0390270581439552,-0.116949705201747,0.0485176295430265,0.393608877774458,16,0.5248118370326107
0708,X3_full,SOMATIC_SCORE,A_PC3_Z,-0.0040571906483539,0.0326634685343495,-0.0733006506852682,0.0651862693885603,0.902694630774578,16,0.902694630774578
0708,X3_full,SOMATIC_SCORE,A_PC4_Z,0.0883701321298959,0.0256187746980563,0.0340607558879309,0.142679508371861,0.0032975476449373,16,0.0131901905797492
0708,X3_full,SOMATIC_SCORE,G_SCALAR_Z,0.0754131559821282,0.0580412755586532,-0.0476288516482219,0.198455163612478,0.212251394812007,16,
0708,X3_full,PHQ9_TOTAL,A_PC1_Z,0.192059038879203,0.0985373540390403,-0.0168308201193995,0.400948897877805,0.0690377925137078,16,0.1380755850274156
0708,X3_full,PHQ9_TOTAL,A_PC2_Z,-0.0347700845196683,0.0819296082175797,-0.208453095143237,0.1389129261039,0.676932982996451,16,0.676932982996451
0708,X3_full,PHQ9_TOTAL,A_PC3_Z,-0.065809859483896,0.0638870945058418,-0.201244449678679,0.069624730710887,0.318285869438485,16,0.42438115925131337
0708,X3_full,PHQ9_TOTAL,A_PC4_Z,0.197334352637518,0.0519173730923718,0.0872744382973521,0.307394266977684,0.0015696462358766,16,0.0062785849435064
0708,X3_full,PHQ9_TOTAL,G_SCALAR_Z,0.118384810470276,0.0721207696518625,-0.0345043912986227,0.271274012239175,0.120204585481285,16,
