analysis,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
A_final_MEC,PHQ9_TOTAL,union,A_FROZEN_PC2_MEC_Z,-0.028072730286696,0.0696927597699675,-0.179920209408417,0.123774748835025,0.694173939688754,0.694173939688754
A_final_MEC,PHQ9_TOTAL,union,A_FROZEN_PC3_MEC_Z,0.226145656285346,0.0516808401671762,0.113542778681121,0.338748533889571,0.0009029197204734,0.0027087591614202
A_final_MEC,PHQ9_TOTAL,union,G_HBA1C,0.195708332482216,0.0861072220006247,0.0080968124602505,0.383319852504181,0.0422205520783326,
A_final_MEC,COGAFF_SUM,A_PCs_plus_scalar_G,A_FROZEN_PC1_MEC_Z,-0.083328732797535,0.0391540588803193,-0.167915934375875,0.0012584687808054,0.053020419760702,0.07953062964105301
A_final_MEC,COGAFF_SUM,A_PCs_plus_scalar_G,A_FROZEN_PC2_MEC_Z,-0.0230701067082026,0.0388192658544711,-0.106934031927098,0.0607938185106931,0.56251493620693,0.56251493620693
A_final_MEC,COGAFF_SUM,A_PCs_plus_scalar_G,A_FROZEN_PC3_MEC_Z,0.0986539482846198,0.035158027363733,0.0226996479449498,0.17460824862429,0.0148576588134615,0.0445729764403845
A_final_MEC,COGAFF_SUM,A_PCs_plus_scalar_G,G_HBA1C,0.0886389647592617,0.0515360234638598,-0.0226978450107921,0.199975774529315,0.109143433386895,
A_final_MEC,COGAFF_SUM,union,A,0.0170792896358677,0.0989526535775848,-0.198520021508591,0.232678600780326,0.86584226575829,
A_final_MEC,COGAFF_SUM,union,A_FROZEN_PC1_MEC_Z,-0.0796460195409991,0.0452653961963749,-0.178270845513631,0.0189788064316327,0.103931375888991,0.1558970638334865
A_final_MEC,COGAFF_SUM,union,A_FROZEN_PC2_MEC_Z,-0.0220048894280957,0.0380717070079488,-0.104956013104346,0.0609462342481549,0.573960353709047,0.573960353709047
A_final_MEC,COGAFF_SUM,union,A_FROZEN_PC3_MEC_Z,0.0983030471080099,0.0344934228774697,0.0231483348034418,0.173457759412578,0.0146252995825128,0.0438758987475384
A_final_MEC,COGAFF_SUM,union,G_HBA1C,0.0886229124692016,0.0515348909783757,-0.0236619691699854,0.200907794108389,0.111154308412861,
AG3_joint_fasting,SOMATIC_SCORE,all_PCs,A_FROZEN_PC1_FZ,-0.221914881783985,0.0472309029805302,-0.32586939834186,-0.117960365226111,0.0006517124787026,0.0039102748722156
AG3_joint_fasting,SOMATIC_SCORE,all_PCs,A_FROZEN_PC2_FZ,0.0201823406064873,0.0504983265532312,-0.0909637267466362,0.131328407959611,0.697055234346859,0.810260393511076
AG3_joint_fasting,SOMATIC_SCORE,all_PCs,A_FROZEN_PC3_FZ,0.136227169799497,0.0534623610006557,0.0185573066135923,0.253897032985403,0.0270868124616302,0.05417362492326041
AG3_joint_fasting,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC1_FZ,0.139395897781956,0.0480716597496782,0.0335908880519399,0.245200907511972,0.0144515248421161,0.0433545745263483
AG3_joint_fasting,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC2_FZ,0.0821657152589717,0.0610243463051693,-0.052147965362999,0.216479395880942,0.205248776466523,0.30787316469978454
AG3_joint_fasting,SOMATIC_SCORE,all_PCs,G3_FROZEN_PC3_FZ,-0.0092798556876697,0.0377328085013719,-0.092329207247769,0.0737694958724294,0.810260393511076,0.810260393511076
AG3_joint_fasting,SOMATIC_SCORE,union,A,-0.0007077513904429,0.132484577792205,-0.300408688003375,0.29899318522249,0.995854146958471,
AG3_joint_fasting,SOMATIC_SCORE,union,G_HBA1C,0.0608496146153013,0.202362404980214,-0.396925949291761,0.518625178522363,0.770476655415547,
AG3_joint_fasting,SOMATIC_SCORE,union,A_FROZEN_PC1_FZ,-0.222481858695195,0.0564524290885574,-0.350186125515233,-0.0947775918751573,0.0034005406781974,0.0204032440691844
