population,adjustment,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
2021-2023,X0,SOMATIC_SCORE,all_PCs,G3_OI_PC1_FZ,0.188465151252035,0.0454039737872344,0.0439694426276526,0.332960859876418,0.0254108735524419,0.0508217471048838
2021-2023,X0,SOMATIC_SCORE,all_PCs,G3_OI_PC2_FZ,0.237344363406008,0.0480176020230632,0.0845309232591269,0.390157803552889,0.0158846171536248,0.047653851460874405
2021-2023,X0,SOMATIC_SCORE,all_PCs,G3_OI_PC3_FZ,-0.066010900906872,0.0468029050810581,-0.21495863325863,0.0829368314448858,0.253226414638111,0.30387169756573323
2021-2023,X0,SOMATIC_SCORE,union,A,-0.294509228293111,0.203978723316801,-inf,inf,0.385629868590693,
2021-2023,X0,SOMATIC_SCORE,union,G_HBA1C,-0.0416202226073345,0.295748991460934,-inf,inf,0.910994145334351,
2021-2023,X0,SOMATIC_SCORE,union,A_OI_PC1_FZ,-0.15058123156232,0.108072455769552,-inf,inf,0.396300894036438,0.533158784243156
2021-2023,X0,SOMATIC_SCORE,union,A_OI_PC2_FZ,0.136435824792244,0.0477569792279107,-inf,inf,0.21435230543789,0.473844048257428
2021-2023,X0,SOMATIC_SCORE,union,A_OI_PC3_FZ,0.174437177350556,0.0319211024845555,-inf,inf,0.11522325374126,0.473844048257428
2021-2023,X0,SOMATIC_SCORE,union,G3_OI_PC1_FZ,0.220791732013755,0.207368846242723,-inf,inf,0.480048427972942,0.533158784243156
2021-2023,X0,SOMATIC_SCORE,union,G3_OI_PC2_FZ,0.225933754558746,0.0881923075242509,-inf,inf,0.236922024128714,0.473844048257428
2021-2023,X0,SOMATIC_SCORE,union,G3_OI_PC3_FZ,-0.0653699158759414,0.0725606281116555,-inf,inf,0.533158784243156,0.533158784243156
2021-2023,X0,PHQ9_TOTAL,all_PCs,A_OI_PC1_FZ,-0.0453329487533018,0.165422418011165,-0.571780911764031,0.481115014257427,0.801837156556988,0.8018371565569881
2021-2023,X0,PHQ9_TOTAL,all_PCs,A_OI_PC2_FZ,0.327223626572384,0.0716708284010369,0.0991350635308813,0.555312189613887,0.0197069757866818,0.0394139515733636
2021-2023,X0,PHQ9_TOTAL,all_PCs,A_OI_PC3_FZ,0.289175060541004,0.0592904244274971,0.100486468383013,0.477863652698996,0.0164752413653397,0.0394139515733636
2021-2023,X0,PHQ9_TOTAL,all_PCs,G3_OI_PC1_FZ,0.308321406863902,0.110576185578303,-0.0435813663821346,0.660224180109939,0.0685147062925012,0.1027720594387518
2021-2023,X0,PHQ9_TOTAL,all_PCs,G3_OI_PC2_FZ,0.541971373581269,0.100352613834047,0.222604568459543,0.861338178702995,0.0124440743097878,0.0394139515733636
2021-2023,X0,PHQ9_TOTAL,all_PCs,G3_OI_PC3_FZ,-0.0524948980364964,0.101490638506173,-0.375483405571351,0.270493609498358,0.640707848661968,0.7688494183943615
2021-2023,X0,PHQ9_TOTAL,union,A,-0.58946341883962,0.460636592532078,-inf,inf,0.422287467328811,
