cycle,bootstrap,component,A,G,AG,aligned_component
0506,74,IC1,0.054462982901633,-0.0646897487444232,-0.0038784202505393,IC1
0506,75,IC1,-0.0033741389113849,0.0203464886236734,-0.0573150491566988,IC1
0506,76,IC1,0.0986521008164118,0.0415760113728331,-0.0645382454903323,IC1
0506,77,IC1,0.0592081539066371,-0.0134203265133961,-0.0288165652323324,IC1
0506,78,IC1,0.0699613368801116,0.026853938729437,-0.0647272984482504,IC1
0506,79,IC1,0.1561196729084987,0.048853484207196,-0.0961953226558579,IC1
0506,80,IC1,0.0717142485604674,0.0614000099505533,-0.0764458534828591,IC1
0506,81,IC1,0.1661016972209462,0.0601511636319762,-0.0942395361375571,IC1
0506,82,IC1,-0.0372547254738103,0.0101295191780059,-0.0669249403658687,IC1
0506,83,IC1,-0.0149227460671666,0.0600523697558391,-0.0219957506646997,IC1
0506,84,IC1,-0.0278098066989975,-0.02713053972955,-0.0229098101053058,IC1
0506,85,IC1,0.0464222586421102,0.0424664575234218,-0.0733735158001151,IC1
0506,86,IC1,0.0176462997010547,-0.0089897749775737,-0.0319777247515003,IC1
0506,87,IC1,0.0952640989138055,0.0552243461146369,-0.021055419251524,IC1
0506,88,IC1,0.1160954221412748,0.0061926289218411,-0.0524831950475132,IC1
0506,89,IC1,0.0128833751080772,-0.0090310940685817,-0.0586267652085518,IC1
0506,90,IC1,0.0443235866366476,0.0151508943451822,-0.0363605040875778,IC1
0506,91,IC1,0.0009275920894539,0.053318044347962,-0.06525080989697,IC1
0506,92,IC1,0.0298329691382508,0.0264063181282772,-0.0991796993875679,IC1
0506,93,IC1,0.0865292794709717,0.0232290520032122,-0.0545143560240688,IC1
0506,94,IC1,-0.0131045327808755,0.0611935287262529,-0.0532442772252564,IC1
0506,95,IC1,0.0188208530657085,-0.0436038917109147,-0.0081907203975859,IC1
0506,96,IC1,0.0928084203825517,0.075676271023758,-0.0920185804844013,IC1
0506,97,IC1,0.0897255834381346,0.061534433103346,-0.0896957732909681,IC1
0506,98,IC1,0.0404683278656904,0.0262617160307603,-0.0372187802368009,IC1
0506,99,IC1,-0.0125011089345286,-0.0329842854878641,-0.0003679793875171,IC1
0506,100,IC1,0.0566159780448567,0.0152577837114208,-0.0723028098878389,IC1
0506,101,IC1,0.0751202566696305,0.0660470878462239,-0.0612879408640988,IC1
0506,102,IC1,0.0762947613469802,0.0323056161191764,-0.0663885333749909,IC1
0506,103,IC1,0.0226189650329103,0.0708077715457464,-0.1597309690801404,IC1
0506,104,IC1,-0.0343258787323284,0.0520855780918095,-0.0792718874406258,IC1
0506,105,IC1,0.0184555350335704,0.0295419569296183,-0.0147978280385564,IC1
0506,106,IC1,0.039246050350038,0.0518263098532032,-0.0746487752093742,IC1
0506,107,IC1,0.0015214534791071,-0.06539499912592,0.0487935298166155,IC1
