cycle,outcome,model,term,beta,se,ci_low,ci_high,p,survey_dof,n
0506,SOMATIC_SCORE,X3_kidney_direct_effect,AG,-0.14488839278301194,0.07932762216393341,-0.3139712169946295,0.02419443142860561,0.0877491563024885,15,3582
0708,PHQ9_TOTAL,X0_demographic,A,0.7169705470330384,0.22139654972803757,0.24763082803532344,1.1863102660307534,0.005145064811648346,16,4375
0708,PHQ9_TOTAL,X0_demographic,G,0.347561704921551,0.10104505292479198,0.1333557617662169,0.5617676480768851,0.0033661831047865406,16,4375
0708,PHQ9_TOTAL,X0_demographic,AG,-0.12441924531926726,0.1285724870284616,-0.3969807419049277,0.14814225126639322,0.3475966521455728,16,4375
0708,PHQ9_TOTAL,X1_primary,A,0.7060473939021084,0.22520287516632034,0.22863862543721797,1.1834561623669988,0.006391077451885468,16,4375
0708,PHQ9_TOTAL,X1_primary,G,0.27370512315570805,0.11210489269249187,0.036053367068291736,0.5113568792431243,0.026621096435773747,16,4375
0708,PHQ9_TOTAL,X1_primary,AG,-0.11798075159107076,0.14201552687797483,-0.41904021959135357,0.18307871640921208,0.4183344093609327,16,4375
0708,PHQ9_TOTAL,X2_bmi_sensitivity,A,0.7448850847722074,0.22367094447786673,0.2707238642918091,1.2190463052526057,0.004240017548317934,16,4375
0708,PHQ9_TOTAL,X2_bmi_sensitivity,G,0.1763103452055923,0.10484046524948953,-0.04594151264959684,0.39856220306078144,0.11203824181644786,16,4375
0708,PHQ9_TOTAL,X2_bmi_sensitivity,AG,-0.12665469254187464,0.14722566194964362,-0.4387591534902453,0.18544976840649605,0.40234410797510656,16,4375
0708,PHQ9_TOTAL,X3_kidney_direct_effect,A,0.7376848159302352,0.2268377656986187,0.2568102343622793,1.218559397498191,0.00499953532632011,16,4375
0708,PHQ9_TOTAL,X3_kidney_direct_effect,G,0.1765722538515547,0.10630949889987625,-0.04879381622382323,0.40193832392693263,0.11619453289002163,16,4375
0708,PHQ9_TOTAL,X3_kidney_direct_effect,AG,-0.1314384671350653,0.15403597424981483,-0.45798014521791897,0.19510321094778837,0.4060881214089306,16,4375
0708,SOMATIC_SCORE,X0_demographic,A,0.4537803359798404,0.13029640836442705,0.17756428941862662,0.7299963825410543,0.003073977139364916,16,4375
0708,SOMATIC_SCORE,X0_demographic,G,0.20073392231118614,0.07880609850547449,0.03367245647849776,0.3677953881438745,0.021525284897057805,16,4375
0708,SOMATIC_SCORE,X0_demographic,AG,-0.12358143571262051,0.048755815874646474,-0.2269391481531275,-0.02022372327211354,0.02207511556507796,16,4375
0708,SOMATIC_SCORE,X1_primary,A,0.45515491415222303,0.13066175240890157,0.17816437281508885,0.7321454554893572,0.0030689035138235727,16,4375
0708,SOMATIC_SCORE,X1_primary,G,0.17289603014286362,0.08617873609872853,-0.009794729193000062,0.3555867894787273,0.062039224216364444,16,4375
0708,SOMATIC_SCORE,X1_primary,AG,-0.11978280315546991,0.054715185312162566,-0.23577381444658296,-0.003791791864356839,0.04375202107215338,16,4375
0708,SOMATIC_SCORE,X2_bmi_sensitivity,A,0.4782126873625136,0.13087739592238473,0.20076500219840382,0.7556603725266233,0.0021410139397135034,16,4375
0708,SOMATIC_SCORE,X2_bmi_sensitivity,G,0.11507316139014491,0.08216683294730975,-0.05911274319506461,0.28925906597535445,0.18046323615928575,16,4375
0708,SOMATIC_SCORE,X2_bmi_sensitivity,AG,-0.12493248530191839,0.058112578707302895,-0.24812564885492788,-0.0017393217489088814,0.04720711575357284,16,4375
0708,SOMATIC_SCORE,X3_kidney_direct_effect,A,0.47376421750283465,0.13231739517354343,0.19326387029531927,0.7542645647103501,0.0025000444735119795,16,4375
0708,SOMATIC_SCORE,X3_kidney_direct_effect,G,0.11523497378120041,0.08300084452696954,-0.06071895637134157,0.2911889039337424,0.18405566072538707,16,4375
0708,SOMATIC_SCORE,X3_kidney_direct_effect,AG,-0.12788799676411375,0.06209566020635298,-0.2595249158941887,0.0037489223659611937,0.05609995445625122,16,4375
